questionText,option1,option2,option3,option4,correctAnswer,category
Which Country won the FIFA World Cup in 2022?,Brazil,Argentina,France,Croatia,Argentina,Sports
Which American Football player has the most Super Bowls?,Tom Brady,Terry Bradshaw,Joe Montana,Charles Haley,Tom Brady,Sports
Who is the all-time top scorer in NBA history?,Kobe Bryant,Lebron James,Michael Jordan,Kareem Adbul-Jabbar,Kareem Adbul-Jabbar,Sports
Who is know as The Greatest in the sport of boxing?,Muhammad Ali,Mike Tyson,Manny Pacquiao,Floyd Mayweather,Muhammad Ali,Sports
Who holds the record for the most home runs in a single MLB season?,Babe Ruth,Barry Bonds,Mark McGwire,Sammy Sosa,Barry Bonds,Sports
Who was the first President of the United States?,Thomas Jefferson,James Madison,George Washington,James K. Polk,George Washington,History/Geography
Which ancient civilization is known for building the pyramids at Giza?,Ancient Greece,Ancient Egypt,Roman Empire,Ottoman Empire,Ancient Egypt,History/Geography
Which two superpowers were involved in the Cold War?,United States and China,Soviet Union and Germany,United States and Germany,United States and Soviet Union,United States and Soviet Union,History/Geography
In which century did the Industrial Revolution begin?,20th Century,18th Century,19th Century,16th Century,18th Century,History/Geography
What event triggered the start of World War I?,Assassination of Archduke Franz Ferdinand,Invasion of Poland,Bombing of Pearl Harbor,Battle of Gettysburg,Assassination of Archduke Franz Ferdinand,History/Geography
What is the name of Tony Stark's artificial intelligence system in the Iron Man suit?,Ultron,Jarvis,Vision,Friday,Jarvis,TV/Movies
In the Harry Potter series what is the name of the sport played on flying broomsticks?,Snitch,Nimbus,Quidditch,Seeker,Quidditch,TV/Movies
In Disney's The Lion King what is the name of Simba's father?,Scar,Mufasa,Rafiki,Zazu,Mufasa,TV/Movies
In the Disney movie Frozen what is the name of Elsa's magical snowman companion?,Hans,Anna,Kristoff,Olaf,Olaf,TV/Movies
What is the name of the character played by Keanu Reeves in the John Wick film series?,Jason Bourne,Neo,John Wick,Bowery King,John Wick,TV/Movies
Which river is the longest in the world?,Nile River,Amazon River,Mississippi River,Yangtze River,Nile River,General Knowledge
Who wrote the play Romeo and Juliet?,F. Scott Fitzgerald,William Shakespeare,Charles Dickens,Edgar Allan Poe,William Shakespeare,General Knowledge
What is the largest planet in our solar system?,Venus,Earth,Jupiter,Mars,Jupiter,General Knowledge
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Michelangelo,Leonardo da Vinci,General Knowledge
What does the acronym AI stand for in the field of computer science?,Artificial Intelligence,Advanced Intelligence,Automated Integration,Augmented Intelligence,Artificial Intelligence,General Knowledge
